talla;la;ma;sa;lo;mo;so
64.2;-0.3833;6.8967;0.09125;-0.3521;7.0742;0.08233
64.3;-0.3833;6.9199;0.09124;-0.3521;7.0984;0.08232
64.4;-0.3833;6.9431;0.09123;-0.3521;7.1226;0.08230
64.5;-0.3833;6.9662;0.09123;-0.3521;7.1467;0.08229
64.6;-0.3833;6.9893;0.09122;-0.3521;7.1708;0.08228
64.7;-0.3833;7.0124;0.09121;-0.3521;7.1948;0.08227
64.8;-0.3833;7.0354;0.09120;-0.3521;7.2188;0.08225
64.9;-0.3833;7.0583;0.09120;-0.3521;7.2427;0.08224
65.0;-0.3833;7.0812;0.09119;-0.3521;7.2666;0.08223
65.1;-0.3833;7.1041;0.09118;-0.3521;7.2905;0.08222
65.2;-0.3833;7.1269;0.09117;-0.3521;7.3143;0.08221
65.3;-0.3833;7.1497;0.09116;-0.3521;7.3380;0.08220
65.4;-0.3833;7.1724;0.09116;-0.3521;7.3617;0.08219
65.5;-0.3833;7.1950;0.09115;-0.3521;7.3854;0.08218
65.6;-0.3833;7.2177;0.09114;-0.3521;7.4091;0.08218
65.7;-0.3833;7.2402;0.09113;-0.3521;7.4327;0.08217
65.8;-0.3833;7.2627;0.09112;-0.3521;7.4563;0.08216
65.9;-0.3833;7.2852;0.09111;-0.3521;7.4799;0.08216
66.0;-0.3833;7.3076;0.09110;-0.3521;7.5034;0.08215
66.1;-0.3833;7.3300;0.09109;-0.3521;7.5269;0.08214
66.2;-0.3833;7.3523;0.09109;-0.3521;7.5504;0.08214
66.3;-0.3833;7.3745;0.09108;-0.3521;7.5738;0.08214
66.4;-0.3833;7.3967;0.09107;-0.3521;7.5973;0.08213
66.5;-0.3833;7.4189;0.09106;-0.3521;7.6206;0.08213
66.6;-0.3833;7.4410;0.09105;-0.3521;7.6440;0.08213
66.7;-0.3833;7.4630;0.09104;-0.3521;7.6673;0.08212
66.8;-0.3833;7.4850;0.09103;-0.3521;7.6906;0.08212
66.9;-0.3833;7.5069;0.09102;-0.3521;7.7138;0.08212
67.0;-0.3833;7.5288;0.09101;-0.3521;7.7370;0.08212
67.1;-0.3833;7.5507;0.09100;-0.3521;7.7602;0.08212
67.2;-0.3833;7.5724;0.09099;-0.3521;7.7834;0.08212
67.3;-0.3833;7.5942;0.09098;-0.3521;7.8065;0.08212
67.4;-0.3833;7.6158;0.09097;-0.3521;7.8296;0.08212
67.5;-0.3833;7.6375;0.09096;-0.3521;7.8526;0.08212
67.6;-0.3833;7.6590;0.09095;-0.3521;7.8757;0.08212
67.7;-0.3833;7.6806;0.09094;-0.3521;7.8986;0.08213
67.8;-0.3833;7.7020;0.09093;-0.3521;7.9216;0.08213
67.9;-0.3833;7.7234;0.09091;-0.3521;7.9445;0.08213
68.0;-0.3833;7.7448;0.09090;-0.3521;7.9674;0.08214
68.1;-0.3833;7.7661;0.09089;-0.3521;7.9903;0.08214
68.2;-0.3833;7.7874;0.09088;-0.3521;8.0132;0.08214
68.3;-0.3833;7.8086;0.09087;-0.3521;8.0360;0.08215
68.4;-0.3833;7.8298;0.09086;-0.3521;8.0588;0.08215
68.5;-0.3833;7.8509;0.09085;-0.3521;8.0816;0.08216
68.6;-0.3833;7.8720;0.09084;-0.3521;8.1044;0.08217
68.7;-0.3833;7.8930;0.09083;-0.3521;8.1272;0.08217
68.8;-0.3833;7.9140;0.09082;-0.3521;8.1500;0.08218
68.9;-0.3833;7.9350;0.09080;-0.3521;8.1727;0.08219
69.0;-0.3833;7.9559;0.09079;-0.3521;8.1955;0.08219
69.1;-0.3833;7.9768;0.09078;-0.3521;8.2183;0.08220
69.2;-0.3833;7.9976;0.09077;-0.3521;8.2410;0.08221
69.3;-0.3833;8.0184;0.09076;-0.3521;8.2638;0.08222
